probe,Mode,Aperture,TxFrequency_MHz,Location_mm,Focus_mm,Voltage_V,PPP_MPa,PNP_abs_MPa,NumTrials
GE624D,pAM,45.0,12.5,5.0,5.0,1.6,0.41513991861626215,0.44533042261682726,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,2.0,0.5379800764515217,0.5930308409738895,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,3.0,0.8244794813129485,0.9728686907677448,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,4.0,1.085889728325864,1.3432490028646338,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,5.0,1.3179121888934737,1.7067229180206258,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,6.0,1.5411400513672888,2.05147822256737,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,7.0,1.747336488812749,2.389539319962346,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,8.0,1.9154930266496704,2.6826017026638915,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,9.0,2.055436403960158,2.9404622972547503,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,10.0,2.1773785831872465,3.1572610295015036,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,11.0,2.304283178857339,3.3377131566945653,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,12.0,2.3998289912779183,3.492841578631474,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,13.0,2.4721584394372242,3.6377558941129546,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,14.0,2.532981705889279,3.7554047100255876,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,15.0,2.5844587978041957,3.852134777645811,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,16.0,2.6256842773831424,3.9487171501814906,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,17.0,2.6684244000505557,4.033805609810371,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,18.0,2.700660718157391,4.121355564758954,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,19.0,2.7089966250283752,4.2068053075014555,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,20.0,2.7348627596597,4.266531716269373,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,21.0,2.747892731937674,4.3246457534531215,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,22.0,2.7592600101373894,4.394630716381334,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,23.0,2.735304066287574,4.4626088117447535,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,24.0,2.725689460701158,4.500246491474947,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,25.0,2.7378285712314674,4.568531381786477,3.0
GE624D,pAM,45.0,12.5,5.0,5.0,26.0,2.8256099386166156,4.626422058694534,3.0
